               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.067319,            0.024911,                   0,             0.36485,             0.66667,             0.37964,             0.14795,            0.049761,            0.014168,                   0,            0.014587,           0.0075875,           0.0075875
                  94,            0.062789,            0.021338,                   0,             0.36485,             0.66667,             0.37964,             0.14795,            0.049761,            0.014168,                   0,             0.01365,           0.0076505,           0.0076505
                  95,            0.061883,            0.020547,                   0,             0.82742,             0.66667,             0.71214,             0.25047,            0.046471,            0.014712,                   0,            0.012713,           0.0077131,           0.0077131
                  96,            0.068053,            0.021171,                   0,             0.82742,             0.66667,             0.71214,             0.25047,            0.046471,            0.014712,                   0,            0.011775,           0.0077752,           0.0077752
                  97,            0.067418,             0.02167,                   0,             0.82742,             0.66667,             0.71214,             0.25047,            0.046471,            0.014712,                   0,            0.010837,            0.007837,            0.007837
                  98,            0.071809,            0.025309,                   0,             0.82742,             0.66667,             0.71214,             0.25047,            0.046471,            0.014712,                   0,           0.0098984,           0.0078984,           0.0078984
                  99,            0.065386,            0.021425,                   0,             0.46045,             0.33333,              0.3325,             0.17572,            0.045993,            0.014759,                   0,           0.0089594,           0.0079594,           0.0079594
                 100,            0.063256,             0.02629,                   0,             0.46045,             0.33333,              0.3325,             0.17572,            0.045993,            0.014759,                   0,             0.00802,             0.00802,             0.00802
                 101,            0.063433,            0.025346,                   0,             0.46045,             0.33333,              0.3325,             0.17572,            0.045993,            0.014759,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.060029,            0.016571,                   0,             0.46045,             0.33333,              0.3325,             0.17572,            0.045993,            0.014759,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.063887,            0.024958,                   0,             0.99592,                   1,               0.995,             0.30473,            0.042488,            0.014895,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.058147,            0.028432,                   0,             0.99592,                   1,               0.995,             0.30473,            0.042488,            0.014895,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.061744,            0.023414,                   0,             0.99592,                   1,               0.995,             0.30473,            0.042488,            0.014895,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,             0.06112,            0.024643,                   0,             0.99592,                   1,               0.995,             0.30473,            0.042488,            0.014895,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.058127,            0.027162,                   0,             0.94249,                   1,               0.995,             0.25259,            0.042326,            0.014715,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.064284,            0.020571,                   0,             0.94249,                   1,               0.995,             0.25259,            0.042326,            0.014715,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.067917,             0.02103,                   0,             0.94249,                   1,               0.995,             0.25259,            0.042326,            0.014715,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.066388,            0.023684,                   0,             0.94249,                   1,               0.995,             0.25259,            0.042326,            0.014715,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.067926,            0.019152,                   0,              0.2372,             0.33333,             0.19375,            0.062946,            0.052366,            0.013607,                   0,            0.007822,            0.007822,            0.007822
